 iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
0 2013 1 1 0 -999 -999 -999 -999 -999 1.4512 60.66 7.3184 98.0541 0.0 0.0 -999 270.445 -999 -999 -999 -999 -999 -999 -999
1 2013 1 2 0 -999 -999 -999 -999 -999 1.303 62.7547 6.8495 98.0522 0.0 0.0 -999 262.8006 -999 -999 -999 -999 -999 -999 -999
2 2013 1 3 0 -999 -999 -999 -999 -999 1.2842 64.8175 6.3980999999999995 98.0398 0.0 0.0 -999 255.1562 -999 -999 -999 -999 -999 -999 -999
3 2013 1 4 0 -999 -999 -999 -999 -999 1.3949 66.8397 5.9641 98.0167 0.0 0.0 -999 248.4962 -999 -999 -999 -999 -999 -999 -999
4 2013 1 5 0 -999 -999 -999 -999 -999 1.5056 68.9324 5.5302 97.9937 0.0 0.0 -999 242.8206 -999 -999 -999 -999 -999 -999 -999
5 2013 1 6 0 -999 -999 -999 -999 -999 1.5436 71.2814 5.0524000000000004 97.988 0.0 0.0 -999 237.1449 -999 -999 -999 -999 -999 -999 -999
6 2013 1 7 0 -999 -999 -999 -999 -999 1.509 73.9109 4.5306999999999995 97.9997 0.0 0.0 -999 234.7165 -999 -999 -999 -999 -999 -999 -999
7 2013 1 8 0 -999 -999 -999 -999 -999 1.4744 76.6495 4.009 98.0114 0.0 0.0 -999 235.5353 -999 -999 -999 -999 -999 -999 -999
8 2013 1 9 0 -999 -999 -999 -999 -999 1.3185 74.1876 4.6506 98.0184 0.0 145.2901 -999 236.3542 -999 -999 -999 -999 -999 -999 -999
9 2013 1 10 0 -999 -999 -999 -999 -999 1.0412 67.0644 6.4556000000000004 98.0206 0.0 212.9007 -999 238.9002 -999 -999 -999 -999 -999 -999 -999
10 2013 1 11 0 -999 -999 -999 -999 -999 0.7639 60.6941 8.2605 98.0228 0.0 290.0059 -999 243.1736 -999 -999 -999 -999 -999 -999 -999
11 2013 1 12 0 -999 -999 -999 -999 -999 0.7251 55.5991 9.6355 97.9533 0.0 367.111 -999 247.4469 -999 -999 -999 -999 -999 -999 -999
12 2013 1 13 0 -999 -999 -999 -999 -999 0.9249 51.5244 10.5807 97.8121 0.0 382.1533 -999 250.2361 -999 -999 -999 -999 -999 -999 -999
13 2013 1 14 0 -999 -999 -999 -999 -999 1.1247 47.7669 11.5259 97.6709 0.0 335.1328 -999 251.5412 -999 -999 -999 -999 -999 -999 -999
