iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld Wuh xsmd lai kdiff kdir wdir
2012 1 0 0 -999.0 -2.8319705 1.6077083 -999.0 -999.0 2.175 86.64947709471303 5.618750279908454 98.561238 0.0 0.38142362 -999.0 290.06534 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2012 1 1 0 -999.0 1.6631944 5.752526 -999.0 -999.0 2.205 87.7427274980537 5.449865405583068 98.630859 0.0 38.224792 -999.0 303.36108 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2012 1 2 0 -999.0 20.239674 21.06902 -999.0 -999.0 1.345 82.49323099659009 6.33500498154126 98.64271400000001 0.0 125.856804 -999.0 307.42935 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2012 1 3 0 -999.0 36.308094 38.51595 -999.0 -999.0 0.989 81.75899867713477 6.470145805830043 98.68784299999999 0.0 201.0015 -999.0 303.84314 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2012 1 4 0 -999.0 55.720596 58.275684 -999.0 -999.0 1.126 80.88341613910465 6.611221784527686 98.593906 0.0 263.6689 -999.0 312.22696 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2012 1 5 0 -999.0 43.875942 52.862553 -999.0 -999.0 1.343 77.01613586363692 7.298516118676332 98.46049400000001 0.0 206.72316 -999.0 331.21176 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2012 1 6 0 -999.0 42.88083 54.87141 -999.0 -999.0 1.304 75.45698534816444 7.581923601090807 98.37455499999999 0.0 214.53276 -999.0 328.9621 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2012 1 7 0 -999.0 25.776745 37.935673 -999.0 -999.0 1.585 78.93212120684407 6.922261530982723 98.317343 0.0 131.48813 -999.0 337.25006 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2012 1 8 0 -999.0 10.154409 26.073198 -999.0 -999.0 1.619 79.94370399042525 6.7376644885131896 98.310619 0.0 79.39075 -999.0 338.4769 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2012 1 9 0 -999.0 -0.11178833 13.412154 -999.0 -999.0 1.146 76.56731121074472 7.361969423734308 98.31837399999999 0.0 34.731564 -999.0 337.0971 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2012 1 10 0 -999.0 -1.8056682 5.6972566 -999.0 -999.0 1.94 80.48138261124168 6.644657659737561 98.334544 0.0 12.708124 -999.0 334.84277 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2012 1 11 0 -999.0 -1.5124305 2.5996962 -999.0 -999.0 2.125 79.86321961310016 6.753636545112045 98.32047100000001 0.0 0.0 -999.0 333.81683 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2012 1 12 0 -999.0 -1.1037847 2.4200866 -999.0 -999.0 2.564 79.80645944128179 6.787880385313542 98.48268399999999 0.0 0.0 -999.0 336.5316 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
