iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld Wuh xsmd lai kdiff kdir wdir
2011 1 0 0 -999.0 -8.68 32.63 -999.0 -999.0 4.65 87.5 2.05 96.73 0.0 0.08 -999.0 321.24 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 1 1 0 -999.0 -4.32 37.02 -999.0 -999.0 5.16 86.86 2.16 96.79 0.0 16.12 -999.0 320.02 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 1 2 0 -999.0 0.86 43.62 -999.0 -999.0 5.57 88.3 1.94 96.84 0.0 39.46 -999.0 315.15 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 1 3 0 -999.0 8.07 54.64 -999.0 -999.0 6.18 88.57 1.9 96.85 0.0 70.6 -999.0 311.76 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 1 4 0 -999.0 15.0 60.66 -999.0 -999.0 6.12 88.65 1.88 96.8 0.0 83.01 -999.0 318.15 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 1 5 0 -999.0 23.07 65.51 -999.0 -999.0 6.13 92.07 1.34 96.69 0.0 105.45 -999.0 315.19 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 1 6 0 -999.0 27.15 63.69 -999.0 -999.0 6.24 92.05 1.33 96.56 0.0 108.17 -999.0 316.65 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 1 7 0 -999.0 31.31 42.59 -999.0 -999.0 6.32 92.32 1.28 96.5 0.0 110.53 -999.0 318.29 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 1 8 0 -999.0 23.43 37.54 -999.0 -999.0 6.42 95.43 0.81 96.46 0.0 103.93 -999.0 303.36 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 1 9 0 -999.0 6.62 23.92 -999.0 -999.0 6.52 93.57 1.09 96.53 0.0 40.62 -999.0 311.6 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 1 10 0 -999.0 2.38 17.85 -999.0 -999.0 6.08 71.77 0.76 96.47 0.0 13.81 -999.0 317.58 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 1 11 0 -999.0 -3.29 14.54 -999.0 -999.0 5.57 72.14 0.71 96.59 0.0 0.01 -999.0 311.26 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 1 12 0 -999.0 -2.21 14.36 -999.0 -999.0 5.41 70.17 1.11 96.7 0.0 0.0 -999.0 310.38 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 1 13 0 -999.0 -1.96 14.6 -999.0 -999.0 5.69 70.75 1.0 96.72 0.0 0.0 -999.0 307.37 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 1 14 0 -999.0 0.99 14.52 -999.0 -999.0 5.35 72.58 0.66 96.79 0.0 0.0 -999.0 310.22 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 1 15 0 -999.0 3.24 15.49 -999.0 -999.0 5.19 73.97 0.4 96.82 0.0 0.0 -999.0 312.63 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 1 16 0 -999.0 3.48 15.61 -999.0 -999.0 5.1 74.53 0.29 96.8 0.0 0.0 -999.0 309.76 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 1 17 0 -999.0 4.53 14.86 -999.0 -999.0 5.01 77.59 -0.26 96.79 0.0 0.0 -999.0 307.67 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 1 18 0 -999.0 7.78 14.23 -999.0 -999.0 5.14 78.17 -0.36 96.8 0.0 0.0 -999.0 310.05 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 1 19 0 -999.0 6.54 14.74 -999.0 -999.0 5.3 77.95 -0.32 96.82 0.0 0.0 -999.0 303.05 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 1 20 0 -999.0 9.22 13.68 -999.0 -999.0 5.0 79.34 -0.56 96.81 0.0 0.0 -999.0 306.2 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 1 21 0 -999.0 6.97 12.04 -999.0 -999.0 5.26 79.13 -0.52 96.84 0.0 0.0 -999.0 299.62 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 1 22 0 -999.0 10.9 11.76 -999.0 -999.0 5.21 80.89 -0.82 96.88 0.0 0.0 -999.0 306.6 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 1 23 0 -999.0 7.52 10.98 -999.0 -999.0 4.86 80.51 -0.74 96.95 0.0 0.0 -999.0 299.1 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 2 0 0 -999.0 8.55 10.82 -999.0 -999.0 4.62 78.04 -0.3 97.04 0.0 0.13 -999.0 301.43 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 2 1 0 -999.0 11.65 12.97 -999.0 -999.0 4.78 77.4 -0.18 97.14 0.0 14.11 -999.0 299.25 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 2 2 0 -999.0 31.13 22.33 -999.0 -999.0 4.49 74.17 0.42 97.26 0.0 67.07 -999.0 303.06 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 2 3 0 -999.0 51.79 31.57 -999.0 -999.0 3.66 72.73 0.71 97.34 0.0 122.69 -999.0 306.39 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2011 2 4 0 -999.0 52.63 32.15 -999.0 -999.0 3.13 73.44 0.58 97.38 0.0 126.9 -999.0 305.96 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
