iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld Wuh xsmd lai kdiff kdir wdir
2013 1 0 0 -999.0 -27.83 15.05 -999.0 -999.0 8.47 95.11 6.83 97.99 0.0 0.0 -999.0 337.12 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 1 0 -999.0 -27.05 16.29 -999.0 -999.0 8.02 96.48 6.63 98.02 0.0 0.0 -999.0 335.94 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 2 0 -999.0 -38.16 12.15 -999.0 -999.0 7.58 102.43 5.77 98.04 0.0 0.0 -999.0 305.32 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 3 0 -999.0 -33.0 12.53 -999.0 -999.0 8.17 89.52 5.09 98.12 0.0 0.0 -999.0 304.03 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 4 0 -999.0 -35.39 5.31 -999.0 -999.0 8.66 94.42 4.34 98.14 0.0 0.0 -999.0 280.57 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 5 0 -999.0 -41.22 0.31 -999.0 -999.0 8.82 102.03 3.26 98.23 -0.0 0.0 -999.0 253.41 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 6 0 -999.0 -44.14 3.96 -999.0 -999.0 8.51 85.64 2.58 98.32 -0.0 0.0 -999.0 245.42 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 7 0 -999.0 -43.29 10.52 -999.0 -999.0 7.66 88.82 2.08 98.39 -0.0 0.0 -999.0 241.28 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 8 0 -999.0 -38.66 7.09 -999.0 -999.0 7.23 91.14 1.74 98.49 -0.0 0.0 -999.0 240.51 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 9 0 -999.0 -31.84 9.14 -999.0 -999.0 7.63 89.88 1.95 98.61 -0.0 21.03 -999.0 239.71 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 10 0 -999.0 -8.18 25.98 -999.0 -999.0 7.27 82.14 3.22 98.72 -0.0 102.59 -999.0 240.85 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 11 0 -999.0 16.09 42.02 -999.0 -999.0 7.5 76.76 4.19 98.79 -0.0 180.77 -999.0 241.23 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 12 0 -999.0 29.5 57.99 -999.0 -999.0 8.21 72.92 4.92 98.84 -0.0 225.6 -999.0 243.15 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 13 0 -999.0 28.08 63.14 -999.0 -999.0 8.62 70.52 5.41 98.89 -0.0 228.46 -999.0 244.66 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 14 0 -999.0 9.62 55.37 -999.0 -999.0 8.37 69.81 5.56 98.98 -0.0 185.97 -999.0 247.12 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 15 0 -999.0 -9.17 34.36 -999.0 -999.0 7.83 70.59 5.41 98.99 -0.0 108.38 -999.0 260.35 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 16 0 -999.0 -28.08 13.85 -999.0 -999.0 7.95 73.35 4.87 99.08 -0.0 25.88 -999.0 271.06 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 17 0 -999.0 -35.12 7.2 -999.0 -999.0 7.9 75.08 4.56 99.17 -0.0 0.0 -999.0 271.91 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 18 0 -999.0 -33.96 7.38 -999.0 -999.0 8.4 76.54 4.3 99.25 -0.0 0.0 -999.0 277.96 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 19 0 -999.0 -35.63 7.41 -999.0 -999.0 8.74 77.69 4.1 99.34 -0.0 0.0 -999.0 268.11 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 20 0 -999.0 -32.4 7.98 -999.0 -999.0 8.16 77.77 4.09 99.42 -0.0 0.0 -999.0 285.47 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 21 0 -999.0 -25.85 8.12 -999.0 -999.0 7.76 78.39 4.0 99.52 -0.0 0.0 -999.0 301.45 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 22 0 -999.0 -29.07 6.84 -999.0 -999.0 8.01 76.75 4.31 99.6 -0.0 0.0 -999.0 291.43 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 1 23 0 -999.0 -31.7 5.63 -999.0 -999.0 7.8 78.07 4.08 99.67 -0.0 0.0 -999.0 281.46 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 0 0 -999.0 -37.95 3.55 -999.0 -999.0 7.71 79.64 3.8 99.74 -0.0 0.0 -999.0 260.3 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 1 0 -999.0 -40.16 1.72 -999.0 -999.0 7.65 81.2 3.54 99.83 -0.0 0.0 -999.0 247.96 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 2 0 -999.0 -38.58 0.76 -999.0 -999.0 7.25 82.02 3.41 99.89 -0.0 0.0 -999.0 248.66 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 3 0 -999.0 -37.7 0.22 -999.0 -999.0 7.14 82.95 3.26 99.96 -0.0 0.0 -999.0 251.67 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 4 0 -999.0 -37.32 -1.97 -999.0 -999.0 6.99 83.3 3.21 100.04 -0.0 0.0 -999.0 248.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 5 0 -999.0 -33.38 -2.76 -999.0 -999.0 6.56 83.54 3.18 100.1 -0.0 0.0 -999.0 251.4 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 6 0 -999.0 -29.43 -2.59 -999.0 -999.0 5.95 82.73 3.33 100.17 -0.0 0.0 -999.0 257.95 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 7 0 -999.0 -15.78 2.72 -999.0 -999.0 5.52 80.96 3.64 100.23 -0.0 0.0 -999.0 301.83 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 8 0 -999.0 -13.37 3.44 -999.0 -999.0 5.7 80.03 3.82 100.31 0.0 0.0 -999.0 316.27 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 9 0 -999.0 -12.42 4.92 -999.0 -999.0 5.6 76.23 4.51 100.38 0.0 7.89 -999.0 317.37 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 10 0 -999.0 -4.46 9.55 -999.0 -999.0 5.65 70.91 5.55 100.43 0.0 28.57 -999.0 325.94 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 11 0 -999.0 -2.76 12.66 -999.0 -999.0 5.96 85.49 6.09 100.46 0.0 36.36 -999.0 329.57 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 12 0 -999.0 0.46 17.65 -999.0 -999.0 6.5 82.79 6.54 100.42 0.0 50.42 -999.0 332.98 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 13 0 -999.0 -7.52 17.19 -999.0 -999.0 7.22 81.21 6.82 100.41 0.0 34.53 -999.0 336.16 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 14 0 -999.0 -13.74 15.32 -999.0 -999.0 8.26 80.41 6.96 100.39 0.0 22.0 -999.0 340.68 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 15 0 -999.0 -20.89 13.77 -999.0 -999.0 8.72 78.35 7.33 100.38 0.0 10.38 -999.0 345.32 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 16 0 -999.0 -25.41 10.82 -999.0 -999.0 8.54 90.6 7.89 100.39 0.0 4.23 -999.0 348.58 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 17 0 -999.0 -26.65 5.45 -999.0 -999.0 8.19 87.17 8.45 100.39 0.0 0.0 -999.0 351.02 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 18 0 -999.0 -26.81 1.54 -999.0 -999.0 7.94 84.11 8.97 100.42 -0.0 0.0 -999.0 349.81 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 19 0 -999.0 -22.15 0.01 -999.0 -999.0 7.83 82.44 9.28 100.47 0.0 0.0 -999.0 357.33 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 20 0 -999.0 -22.38 -1.65 -999.0 -999.0 8.15 94.67 9.53 100.51 0.0 0.0 -999.0 357.78 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 21 0 -999.0 -23.0 -1.68 -999.0 -999.0 8.54 92.31 9.91 100.58 0.0 0.0 -999.0 359.2 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 22 0 -999.0 -23.12 -0.8 -999.0 -999.0 8.2 91.69 10.01 100.61 -0.0 0.0 -999.0 360.85 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 2 23 0 -999.0 -24.18 -0.62 -999.0 -999.0 8.28 91.35 10.08 100.66 -0.0 0.0 -999.0 358.72 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 0 0 -999.0 -26.21 -2.16 -999.0 -999.0 8.22 92.22 9.94 100.68 0.0 0.0 -999.0 352.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 1 0 -999.0 -22.97 -0.04 -999.0 -999.0 8.57 92.67 9.88 100.76 0.0 0.0 -999.0 357.48 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 2 0 -999.0 -23.1 -1.21 -999.0 -999.0 8.55 79.75 9.81 100.79 -0.0 0.0 -999.0 353.01 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 3 0 -999.0 -19.68 0.35 -999.0 -999.0 8.55 79.83 9.81 100.85 -0.0 0.0 -999.0 358.21 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 4 0 -999.0 -20.67 -0.27 -999.0 -999.0 8.49 80.79 9.63 100.88 -0.0 0.0 -999.0 354.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 5 0 -999.0 -20.52 -0.01 -999.0 -999.0 8.37 81.85 9.45 100.9 0.0 0.0 -999.0 352.55 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 6 0 -999.0 -18.13 2.61 -999.0 -999.0 8.36 81.52 9.52 100.98 0.0 0.0 -999.0 358.33 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 7 0 -999.0 -20.33 -0.92 -999.0 -999.0 8.1 81.31 9.56 101.05 0.0 0.0 -999.0 351.41 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 8 0 -999.0 -21.72 -2.71 -999.0 -999.0 7.78 81.07 9.62 101.12 0.0 0.0 -999.0 345.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 9 0 -999.0 -15.86 1.57 -999.0 -999.0 7.5 80.97 9.65 101.2 0.0 7.12 -999.0 353.64 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 10 0 -999.0 -6.21 9.96 -999.0 -999.0 7.69 78.81 10.05 101.24 0.0 36.64 -999.0 356.44 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 11 0 -999.0 0.95 21.46 -999.0 -999.0 8.85 76.19 10.56 101.31 -0.0 69.15 -999.0 358.03 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 12 0 -999.0 5.91 30.9 -999.0 -999.0 9.1 86.56 10.97 101.33 -0.0 88.03 -999.0 363.58 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 13 0 -999.0 2.78 29.12 -999.0 -999.0 9.58 85.27 11.2 101.34 -0.0 80.43 -999.0 365.3 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 14 0 -999.0 -3.63 20.22 -999.0 -999.0 7.99 85.04 11.24 101.36 -0.0 55.1 -999.0 364.82 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 15 0 -999.0 -8.7 12.44 -999.0 -999.0 6.75 84.9 11.27 101.41 -0.0 36.25 -999.0 361.1 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 16 0 -999.0 -15.54 6.82 -999.0 -999.0 6.42 74.03 11.01 101.45 -0.0 10.72 -999.0 361.84 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 17 0 -999.0 -19.23 5.03 -999.0 -999.0 6.57 75.12 10.8 101.5 -0.0 0.0 -999.0 359.23 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 18 0 -999.0 -19.8 5.95 -999.0 -999.0 6.97 76.51 10.53 101.53 -0.0 0.0 -999.0 356.63 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 19 0 -999.0 -24.37 1.72 -999.0 -999.0 7.71 77.16 10.41 101.57 -0.0 0.0 -999.0 341.59 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 20 0 -999.0 -19.43 3.74 -999.0 -999.0 8.23 77.7 10.31 101.6 0.0 0.0 -999.0 351.15 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 21 0 -999.0 -19.29 4.41 -999.0 -999.0 8.33 77.61 10.34 101.62 0.0 0.0 -999.0 351.94 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 22 0 -999.0 -18.65 4.85 -999.0 -999.0 6.47 76.68 10.52 101.64 0.0 0.0 -999.0 353.79 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2013 3 23 0 -999.0 -18.78 4.25 -999.0 -999.0 6.39 76.46 10.56 101.68 0.0 0.0 -999.0 351.67 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
